Filename;Line Number;Function Name;Call Count;Cumulative Time;Internal Time
~;0;<pandas._libs.lib.is_scalar>;1642670;0.428298279;0.428298279
common.py;362;apply_if_callable;788078;0.42438575700000003;0.314967449
_methods.py;61;_all;65466;0.423355427;0.050135808000000004
_mixins.py;154;take;65472;0.422416883;0.101890112
series.py;1072;_get_value;131666;0.413188535;0.10580109600000001
base.py;54;shape;65508;0.40977609200000004;0.15978698100000002
blocks.py;2250;extend_blocks;196442;0.39507590600000003;0.28840733500000004
<__array_function__ internals>;177;empty_like;130920;0.387729097;0.168771101
indexing.py;2629;is_label_like;130912;0.38259279900000004;0.132422291
generic.py;550;_get_axis_number;1114624;0.37908677100000004;0.37908677100000004
common.py;1433;is_extension_array_dtype;261894;0.37687009400000004;0.26098988700000003
~;0;<built-in method numpy.seterrobj>;396242;0.376204965;0.376204965
flags.py;85;allows_duplicate_labels;460950;0.367437687;0.367437687
indexing.py;2247;<genexpr>;196368;0.36523400100000003;0.09725657
inference.py;363;is_sequence;196369;0.36324015200000004;0.24020564200000002
blocks.py;2266;ensure_block_shape;65489;0.36217321;0.141553293
datetimes.py;265;_simple_new;65460;0.361368381;0.26536337600000004
datetimelike.py;560;copy;65469;0.358667137;0.1542085
accessor.py;121;wrapper;5;0.355745497;1,27E-01
base.py;3754;get_loc;131860;0.35471865;0.208679738
object_array.py;39;_str_map;5;0.354440547;6,24E-01
inference.py;266;is_dict_like;65526;0.34837127100000004;0.175251404
~;0;<pandas._libs.lib.map_infer_mask>;5;0.34117952;0.086056692
indexing.py;881;_is_nested_tuple_indexer;65456;0.33075332300000004;0.096344859
~;0;<built-in method builtins.hash>;1967878;0.32388846200000004;0.32388846200000004
series.py;4661;apply;1;0.31984205400000004;5,25E-03
apply.py;1108;apply;1;0.319831448;0.003093597
apply.py;1159;apply_standard;1;0.31673152800000004;3,05E+11
common.py;148;<lambda>;525664;0.31466393000000004;0.217654228
series.py;846;__array__;130924;0.312107213;0.12741280200000002
base.py;7277;ensure_index;458406;0.30900465800000004;0.22766123000000002
groupby.py;1511;apply;1;0.305638261;3,19E-01
groupby.py;1592;_python_apply_general;1;0.305542661;0.002405182
ops.py;822;apply;1;0.30276800600000003;0.005807991
common.py;1751;pandas_dtype;261881;0.29871553500000003;0.20320949300000002
<__array_function__ internals>;177;ndim;65460;0.27516729900000003;0.08169982
base.py;2752;_is_all_dates;65476;0.26980133700000003;0.15547686200000002
indexing.py;770;_ensure_listlike_indexer;65456;0.269743891;0.175127799
managers.py;2433;_using_copy_on_write;787399;0.26836111300000004;0.26836111300000004
config.py;638;_translate_key;261936;0.26445380700000004;0.123253392
datetimelike.py;2012;_reso;261834;0.262901708;0.181146782
~;0;<method 'split' of 'str' objects>;327767;0.258488616;0.258488616
series.py;1267;_set_as_cached;66371;0.256390965;0.069282705
~;0;<method '_from_backing_data' of 'pandas._libs.arrays.NDArrayBacked' objects>;394488;0.25217828600000003;0.25217828600000003
base.py;56;<genexpr>;196523;0.249989111;0.08227986600000001
series.py;764;__len__;65467;0.249036362;0.033251999000000004
construction.py;733;_maybe_repeat;196465;0.245179679;0.140977886
common.py;1420;is_1d_only_ea_dtype;392934;0.244138921;0.177781565
~;0;<built-in method builtins.issubclass>;1448238;0.241031547;0.24102673100000002
blocks.py;504;astype;4;0.238052911;2,66E+11
astype.py;239;astype_array_safe;4;0.23792642300000003;2,45E+11
generic.py;6076;astype;2;0.23790206800000002;1,56E-01
astype.py;192;astype_array;4;0.237876941;2,80E-01
managers.py;447;astype;2;0.237748974;5,26E+09
base.py;324;ndim;1571221;0.23491519300000002;0.23491519300000002
common.py;736;is_signed_integer_dtype;65491;0.234425563;0.078672804
datetimes.py;599;astype;1;0.232845821;8,20E+09
datetimelike.py;425;astype;1;0.232821345;1,08E-01
~;0;<pandas._libs.tslibs.vectorized.ints_to_pydatetime>;1;0.23279850600000002;0.23279850600000002
indexing.py;1130;_is_scalar_access;65456;0.23039587600000003;0.16948917300000002
datetimelike.py;726;_validate_listlike;327282;0.22919645200000002;0.191199649
~;0;<built-in method numpy.geterrobj>;792484;0.229056643;0.229056643
range.py;541;equals;261866;0.221554626;0.19204271
~;0;<pandas._libs.lib.item_from_zerodim>;982884;0.216310938;0.216310938
<ipython-input-131-21af78044bcb>;233;<lambda>;860;0.212623148;0.004284777
<frozen importlib._bootstrap>;1207;_handle_fromlist;131005;0.21132314700000002;0.158415502
frame.py;4271;_clear_item_cache;65480;0.20897952600000003;0.060234432000000004
common.py;790;is_unsigned_integer_dtype;65491;0.20801345400000001;0.07944841700000001
frame.py;874;shape;65462;0.204276378;0.061003026
indexing.py;2661;<genexpr>;392736;0.20069751900000002;0.151191963
~;0;<pandas._libs.lib.maybe_convert_objects>;82;0.198438947;0.19764393500000002
indexing.py;1064;<genexpr>;196368;0.19066359300000002;0.119585252
~;0;<method 'take' of 'numpy.ndarray' objects>;130938;0.19023397900000003;0.19023397900000003
indexing.py;811;<genexpr>;196368;0.18639662;0.11702113500000001
~;0;<function DatetimeLikeArrayMixin.copy at 0x11259d800>;65469;0.184088473;0.184088473
base.py;5934;_get_values_for_loc;131666;0.18190757200000002;0.087803005
numeric.py;1398;<listcomp>;130960;0.18156995;0.11715599500000001
common.py;1487;is_ea_or_datetimelike_dtype;131030;0.17936697000000001;0.129394693
generic.py;353;flags;921903;0.177215651;0.177215651
managers.py;2009;_block;525511;0.17720745400000001;0.17720745400000001
common.py;146;classes;525664;0.17669187900000002;0.17669187900000002
indexing.py;842;_expand_ellipsis;65456;0.17572511000000002;0.059715081
indexing.py;2230;<listcomp>;65456;0.173228711;0.100713463
indexing.py;2225;ravel;130912;0.172105942;0.099513526
common.py;1500;is_complex_dtype;65458;0.17204296000000002;0.068384997
base.py;46;__len__;65477;0.17158399500000002;0.062874944
~;0;<pandas._libs.lib.is_integer>;990292;0.167181945;0.167181945
~;0;<method 'reshape' of 'pandas._libs.arrays.NDArrayBacked' objects>;65463;0.167033979;0.167033979
frame.py;857;axes;262709;0.16623896200000002;0.16623896200000002
indexing.py;2672;<genexpr>;392736;0.163758812;0.12626019400000002
accessor.py;1127;contains;3;0.162751859;2,92E+11
object_array.py;117;_str_contains;3;0.162021832;3,61E+11
common.py;313;is_null_slice;261824;0.16103436200000001;0.119810175
config.py;579;_select_options;261936;0.155728729;0.155728729
generic.py;332;attrs;460953;0.151984279;0.151984279
~;0;<method 'clear' of 'dict' objects>;65480;0.14874509400000002;0.14874509400000002
~;0;<method 'append' of 'list' objects>;1012687;0.14721440300000002;0.14721440300000002
accessor.py;780;split;1;0.146663008;9,30E-03
object_array.py;309;_str_split;1;0.146408791;7.64e-06
frame.py;1498;__len__;65494;0.145650946;0.055720876
frame.py;609;__init__;884;0.144144934;0.0018302370000000002
~;0;<built-in method pandas._libs.missing.checknull>;196478;0.14306205600000002;0.14306205600000002
~;0;<built-in method builtins.callable>;984512;0.14192145;0.14192145
cast.py;120;maybe_convert_platform;3;0.139730771;0.00044110300000000004
typing.py;2246;cast;920147;0.139398254;0.139398254
~;0;<pandas._libs.lib.is_iterator>;786437;0.13841139400000002;0.13841139400000002
array_ops.py;445;maybe_prepare_scalar_for_op;65462;0.13791757300000002;0.114113606
blocks.py;500;dtype;196520;0.137771282;0.11006853500000001
construction.py;496;nested_data_to_arrays;2;0.132412787;0.001674087
construction.py;790;to_arrays;2;0.130689115;0.000254022
managers.py;222;_normalize_axis;130920;0.12855328400000002;0.10334095700000001
object_array.py;340;<lambda>;65830;0.126387576;0.020438216000000002
_decorators.py;170;wrapper;2;0.125644575;1,40E-01
range.py;385;get_loc;131666;0.125479867;0.089464625
readers.py;854;read_csv;1;0.124770189;2,39E+11
readers.py;571;_read;1;0.12473117;0.0016578690000000002
__init__.py;152;align_method_SERIES;65475;0.12390886200000001;0.037134566
~;0;<method 'get_loc' of 'pandas._libs.index.IndexEngine' objects>;131860;0.123845541;0.123845541
readers.py;1762;read;1;0.11861405500000001;2,14E-01
construction.py;713;_sanitize_str_dtypes;131002;0.11847982300000001;0.09156987800000001
inference.py;292;<genexpr>;196609;0.117485767;0.08566346300000001
common.py;156;<lambda>;132831;0.11602939500000001;0.087556146
c_parser_wrapper.py;218;read;1;0.11485479300000001;0.000118041
cast.py;1422;sanitize_to_nanoseconds;130989;0.11225453;0.112189653
~;0;<method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects>;1;0.11183456000000001;0.110804895
flags.py;53;allows_duplicate_labels;460953;0.11176318800000001;0.11176318800000001
indexing.py;888;<genexpr>;196368;0.10931958700000001;0.081230277
generic.py;11777;sum;860;0.10876313400000001;0.001036244
generic.py;11492;sum;860;0.10772689;0.001412962
base.py;870;_reset_identity;198202;0.107068334;0.107068334
generic.py;11443;_min_count_stat_function;860;0.106313928;0.002744405
indexing.py;1063;<genexpr>;196368;0.104457454;0.079041411
series.py;4773;_reduce;864;0.10310419700000001;0.004952539000000001
object_array.py;124;<lambda>;212822;0.100697036;0.062272126000000004
series.py;546;_constructor;393701;0.10011278600000001;0.10011278600000001
indexing.py;899;_validate_key_length;130912;0.099786413;0.077489229
indexing.py;810;<genexpr>;196368;0.09816830300000001;0.074194086
~;0;<built-in method builtins.iter>;261830;0.09605137600000001;0.09605137600000001
