rdered by: standard name;;;;;
;;;;;
ncalls;tottime;percall;cumtime;percall;filename:lineno(function)
1;0.000;0.000;0.258;0.258;groupby.py:1511(apply)
65476;0.146;0.000;0.256;0.000;base.py:2752(_is_all_dates)
1;0.005;0.005;0.256;0.256;ops.py:822(apply)
261834;0.173;0.000;0.250;0.000;datetimelike.py:2012(_reso)
66371;0.067;0.000;0.249;0.000;series.py:1267(_set_as_cached)
196523;0.082;0.000;0.246;0.000;base.py:56(<genexpr>)
65467;0.033;0.000;0.241;0.000;series.py:764(__len__)
394488;0.240;0.000;0.240;0.000;{method '_from_backing_data' of 'pandas._libs.arrays.NDArrayBacked' objects}
392934;0.174;0.000;0.239;0.000;common.py:1420(is_1d_only_ea_dtype)
196465;0.137;0.000;0.238;0.000;construction.py:733(_maybe_repeat)
1448238;0.236;0.000;0.236;0.000;{built-in method builtins.issubclass}
1571221;0.232;0.000;0.232;0.000;base.py:324(ndim)
327282;0.189;0.000;0.226;0.000;datetimelike.py:726(_validate_listlike)
65491;0.074;0.000;0.225;0.000;common.py:736(is_signed_integer_dtype)
65456;0.162;0.000;0.221;0.000;indexing.py:1130(_is_scalar_access)
792484;0.219;0.000;0.219;0.000;{built-in method numpy.geterrobj}
261866;0.188;0.000;0.218;0.000;range.py:541(equals)
982884;0.207;0.000;0.207;0.000;{pandas._libs.lib.item_from_zerodim}
131005;0.157;0.000;0.207;0.000;<frozen importlib._bootstrap>:1207(_handle_fromlist)
82;0.203;0.002;0.204;0.002;{pandas._libs.lib.maybe_convert_objects}
65491;0.077;0.000;0.200;0.000;common.py:790(is_unsigned_integer_dtype)
392736;0.148;0.000;0.196;0.000;indexing.py:2661(<genexpr>)
65462;0.059;0.000;0.195;0.000;frame.py:874(shape)
131666;0.094;0.000;0.194;0.000;base.py:5934(_get_values_for_loc)
196368;0.117;0.000;0.188;0.000;indexing.py:1064(<genexpr>)
65480;0.053;0.000;0.186;0.000;frame.py:4271(_clear_item_cache)
196368;0.116;0.000;0.184;0.000;indexing.py:811(<genexpr>)
130938;0.180;0.000;0.180;0.000;{method 'take' of 'numpy.ndarray' objects}
65469;0.178;0.000;0.178;0.000;{function DatetimeLikeArrayMixin.copy at 0x11259d800}
860;0.003;0.000;0.178;0.000;<ipython-input-131-21af78044bcb>:233(<lambda>)
130960;0.115;0.000;0.177;0.000;numeric.py:1398(<listcomp>)
921903;0.174;0.000;0.174;0.000;generic.py:353(flags)
525511;0.174;0.000;0.174;0.000;managers.py:2009(_block)
131030;0.126;0.000;0.174;0.000;common.py:1487(is_ea_or_datetimelike_dtype)
525664;0.173;0.000;0.173;0.000;common.py:146(classes)
65456;0.098;0.000;0.168;0.000;indexing.py:2230(<listcomp>)
65477;0.062;0.000;0.167;0.000;base.py:46(__len__)
65456;0.055;0.000;0.167;0.000;indexing.py:842(_expand_ellipsis)
130912;0.094;0.000;0.166;0.000;indexing.py:2225(ravel)
65458;0.065;0.000;0.166;0.000;common.py:1500(is_complex_dtype)
3;0.000;0.000;0.166;0.055;accessor.py:1127(contains)
3;0.000;0.000;0.165;0.055;object_array.py:117(_str_contains)
990292;0.164;0.000;0.164;0.000;{pandas._libs.lib.is_integer}
262709;0.163;0.000;0.163;0.000;frame.py:857(axes)
392736;0.123;0.000;0.161;0.000;indexing.py:2672(<genexpr>)
65463;0.158;0.000;0.158;0.000;{method 'reshape' of 'pandas._libs.arrays.NDArrayBacked' objects}
261824;0.117;0.000;0.158;0.000;common.py:313(is_null_slice)
261936;0.151;0.000;0.151;0.000;config.py:579(_select_options)
460953;0.149;0.000;0.149;0.000;generic.py:332(attrs)
3;0.000;0.000;0.149;0.050;cast.py:120(maybe_convert_platform)
884;0.002;0.000;0.142;0.000;frame.py:609(__init__)
984512;0.139;0.000;0.139;0.000;{built-in method builtins.callable}
65494;0.051;0.000;0.139;0.000;frame.py:1498(__len__)
1;0.002;0.002;0.139;0.139;readers.py:571(_read)
05-feb;0.000;0.000;0.139;0.070;_decorators.py:170(wrapper)
1;0.000;0.000;0.139;0.139;readers.py:854(read_csv)
1012687;0.136;0.000;0.136;0.000;{method 'append' of 'list' objects}
920147;0.135;0.000;0.135;0.000;typing.py:2246(cast)
786437;0.134;0.000;0.134;0.000;{pandas._libs.lib.is_iterator}
131666;0.096;0.000;0.134;0.000;range.py:385(get_loc)
196478;0.133;0.000;0.133;0.000;{built-in method pandas._libs.missing.checknull}
65480;0.133;0.000;0.133;0.000;{method 'clear' of 'dict' objects}
196520;0.104;0.000;0.131;0.000;blocks.py:500(dtype)
1;0.000;0.000;0.129;0.129;readers.py:1762(read)
65462;0.104;0.000;0.128;0.000;array_ops.py:445(maybe_prepare_scalar_for_op)
2;0.002;0.001;0.128;0.064;construction.py:496(nested_data_to_arrays)
2;0.000;0.000;0.126;0.063;construction.py:790(to_arrays)
1;0.002;0.002;0.123;0.123;apply.py:1108(apply)
1;0.000;0.000;0.123;0.123;c_parser_wrapper.py:218(read)
1;0.000;0.000;0.123;0.123;series.py:4661(apply)
131860;0.120;0.000;0.120;0.000;{method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
1;0.000;0.000;0.120;0.120;apply.py:1159(apply_standard)
1;0.118;0.118;0.119;0.119;{method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
130920;0.094;0.000;0.118;0.000;managers.py:222(_normalize_axis)
65475;0.035;0.000;0.118;0.000;__init__.py:152(align_method_SERIES)
131002;0.089;0.000;0.115;0.000;construction.py:713(_sanitize_str_dtypes)
132831;0.085;0.000;0.114;0.000;common.py:156(<lambda>)
196609;0.082;0.000;0.112;0.000;inference.py:292(<genexpr>)
196368;0.080;0.000;0.108;0.000;indexing.py:888(<genexpr>)
198202;0.107;0.000;0.107;0.000;base.py:870(_reset_identity)
130989;0.107;0.000;0.107;0.000;cast.py:1422(sanitize_to_nanoseconds)
460953;0.105;0.000;0.105;0.000;flags.py:53(allows_duplicate_labels)
212822;0.064;0.000;0.103;0.000;object_array.py:124(<lambda>)
196368;0.076;0.000;0.101;0.000;indexing.py:1063(<genexpr>)
393701;0.097;0.000;0.097;0.000;series.py:546(_constructor)
130912;0.075;0.000;0.096;0.000;indexing.py:899(_validate_key_length)
196368;0.073;0.000;0.096;0.000;indexing.py:810(<genexpr>)
261830;0.094;0.000;0.094;0.000;{built-in method builtins.iter}
1;0.000;0.000;0.093;0.093;datetimes.py:705(to_datetime)
132742;0.068;0.000;0.092;0.000;common.py:151(cast_scalar_indexer)
860;0.001;0.000;0.091;0.000;generic.py:11777(sum)
130981;0.075;0.000;0.090;0.000;base.py:839(is_)
860;0.001;0.000;0.090;0.000;generic.py:11492(sum)
860;0.002;0.000;0.089;0.000;generic.py:11443(_min_count_stat_function)
262798;0.087;0.000;0.087;0.000;managers.py:172(blknos)
1;0.000;0.000;0.087;0.087;datetimes.py:194(_maybe_cache)
864;0.004;0.000;0.086;0.000;series.py:4773(_reduce)
261866;0.083;0.000;0.083;0.000;datetimelike.py:926(freq)
198204;0.083;0.000;0.083;0.000;{built-in method __new__ of type object at 0x102d6eda8}
1;0.000;0.000;0.081;0.081;datetimes.py:325(_convert_listlike_datetimes)
196368;0.080;0.000;0.080;0.000;datetimelike.py:2082(_maybe_clear_freq)
1;0.080;0.080;0.080;0.080;{pandas._libs.tslibs.strptime.array_strptime}
1;0.000;0.000;0.080;0.080;datetimes.py:458(_array_strptime_with_fallback)
1;0.000;0.000;0.080;0.080;datetimes.py:506(_to_datetime_with_format)
130920;0.079;0.000;0.079;0.000;numeric.py:1234(<dictcomp>)
65456;0.066;0.000;0.079;0.000;blocks.py:323(should_store)
552605;0.078;0.000;0.078;0.000;{method 'join' of 'str' objects}
7;0.000;0.000;0.078;0.011;missing.py:309(_isna_string_dtype)
262785;0.077;0.000;0.077;0.000;managers.py:188(blklocs)
261834;0.077;0.000;0.077;0.000;{pandas._libs.tslibs.np_datetime.py_get_unit_from_dtype}
130914;0.076;0.000;0.076;0.000;indexing.py:278(loc)
65458;0.076;0.000;0.076;0.000;{built-in method pandas._libs.tslibs.timedeltas.delta_to_nanoseconds}
11;0.004;0.000;0.075;0.007;managers.py:1864(_consolidate_inplace)
9;0.000;0.000;0.075;0.008;generic.py:3873(_take)
65531;0.074;0.000;0.074;0.000;{built-in method numpy.array}
1;0.000;0.000;0.073;0.073;frame.py:6424(dropna)
4;0.000;0.000;0.072;0.018;managers.py:2319(_consolidate)
20;0.041;0.002;0.071;0.004;managers.py:2361(_merge_blocks)
861;0.001;0.000;0.071;0.000;ops.py:1321(__iter__)
862;0.004;0.000;0.070;0.000;nanops.py:83(_f)
8;0.000;0.000;0.070;0.009;generic.py:3894(_take_with_is_copy)
65460;0.051;0.000;0.069;0.000;function_base.py:346(iterable)
5;0.000;0.000;0.069;0.014;missing.py:357(notna)
15;0.000;0.000;0.068;0.005;blocks.py:345(apply)
1;0.000;0.000;0.067;0.067;base.py:141(isna)
1;0.000;0.000;0.067;0.067;frame.py:6377(isna)
198121;0.066;0.000;0.066;0.000;_ufunc_config.py:426(__init__)
65456;0.048;0.000;0.066;0.000;indexing.py:2185(_ensure_iterable_column_indexer)
1;0.015;0.015;0.066;0.066;{pandas._libs.lib.map_infer}
196429;0.065;0.000;0.065;0.000;base.py:986(dtype)
6;0.000;0.000;0.065;0.011;frame.py:3832(_getitem_bool_array)
1;0.064;0.064;0.064;0.064;{pandas._libs.missing.isnaobj2d}
65457;0.048;0.000;0.064;0.000;indexing.py:1108(_validate_key)
65456;0.040;0.000;0.064;0.000;base.py:931(__array__)
15;0.000;0.000;0.064;0.004;generic.py:6258(copy)
860;0.003;0.000;0.063;0.000;ops.py:1351(_chop)
15;0.000;0.000;0.063;0.004;managers.py:616(copy)
130981;0.061;0.000;0.061;0.000;{built-in method numpy.core._multiarray_umath.normalize_axis_index}
2;0.000;0.000;0.061;0.030;construction.py:1038(_convert_object_array)
12;0.000;0.000;0.061;0.005;construction.py:1054(convert)
2;0.000;0.000;0.061;0.030;construction.py:1060(<listcomp>)
2;0.000;0.000;0.061;0.030;construction.py:958(_finalize_columns_and_data)
262078;0.060;0.000;0.060;0.000;base.py:5090(_values)
328326;0.060;0.000;0.060;0.000;{method 'get' of 'dict' objects}
