rdered by: standard name;;;;;
;;;;;
ncalls;tottime;percall;cumtime;percall;filename:lineno(function)
1;0.000;0.000;0.005;0.005;series.py:4460(map)
31;0.004;0.000;0.004;0.000;{method 'argsort' of 'numpy.ndarray' objects}
1;0.004;0.004;0.004;0.004;{method 'unique' of 'pandas._libs.hashtable.StringHashTable' objects}
16;0.004;0.000;0.004;0.000;{pandas._libs.algos.take_2d_axis0_int64_int64}
860;0.002;0.000;0.004;0.000;base.py:5356(_getitem_slice)
1;0.002;0.002;0.004;0.004;c_parser_wrapper.py:351(_concatenate_chunks)
3446;0.002;0.000;0.004;0.000;nanops.py:86(<genexpr>)
4;0.000;0.000;0.004;0.001;accessor.py:197(_validate)
1;0.000;0.000;0.004;0.004;algorithms.py:412(unique_with_mask)
20;0.000;0.000;0.004;0.000;base.py:6844(insert)
13;0.000;0.000;0.004;0.000;frame.py:4132(_iset_item_mgr)
9;0.000;0.000;0.004;0.000;groupby.py:1876(_wrap_transform_fast_result)
10;0.000;0.000;0.004;0.000;ops.py:936(has_dropped_na)
11;0.000;0.000;0.004;0.000;ops.py:944(group_info)
11;0.000;0.000;0.004;0.000;ops.py:966(_get_compressed_codes)
6;0.003;0.001;0.003;0.001;{method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
2;0.003;0.001;0.003;0.001;{pandas._libs.algos.take_2d_axis0_object_object}
1;0.003;0.003;0.003;0.003;{pandas._libs.lib.dicts_to_array}
8;0.003;0.000;0.003;0.000;{pandas._libs.lib.infer_datetimelike_array}
11;0.000;0.000;0.003;0.000;algorithms.py:593(factorize)
6;0.000;0.000;0.003;0.001;base.py:3975(_get_indexer)
1;0.000;0.000;0.003;0.003;generic.py:4598(_update_inplace)
11;0.000;0.000;0.003;0.000;grouper.py:615(codes)
11;0.000;0.000;0.003;0.000;grouper.py:658(_codes_and_uniques)
1;0.000;0.000;0.003;0.003;rolling.py:1453(sum)
1;0.000;0.000;0.003;0.003;rolling.py:2009(sum)
1;0.000;0.000;0.003;0.003;rolling.py:471(_apply_series)
1;0.000;0.000;0.003;0.003;rolling.py:491(_apply_blockwise)
1;0.000;0.000;0.003;0.003;rolling.py:606(_apply)
13;0.000;0.000;0.003;0.000;series.py:6247(_logical_method)
14;0.000;0.000;0.003;0.000;take.py:350(wrapper)
29;0.002;0.000;0.002;0.000;base.py:2381(is_unique)
21;0.002;0.000;0.002;0.000;function_base.py:5054(delete)
16;0.002;0.000;0.002;0.000;{method 'fill' of 'numpy.ndarray' objects}
5;0.002;0.000;0.002;0.000;{method 'tolist' of 'numpy.ndarray' objects}
1;0.002;0.002;0.002;0.002;{pandas._libs.window.aggregations.roll_sum}
862;0.001;0.000;0.002;0.000;base.py:4205(_validate_positional_slice)
2584;0.001;0.000;0.002;0.000;nanops.py:79(check)
21;0.000;0.000;0.002;0.000;<__array_function__ internals>:177(delete)
11;0.000;0.000;0.002;0.000;algorithms.py:530(factorize_array)
10;0.000;0.000;0.002;0.000;arraylike.py:70(__and__)
5;0.000;0.000;0.002;0.000;base.py:721(tolist)
09-jul;0.000;0.000;0.002;0.000;blocks.py:1278(shift)
10;0.000;0.000;0.002;0.000;blocks.py:1920(delete)
1;0.000;0.000;0.002;0.002;common.py:645(get_handle)
3;0.000;0.000;0.002;0.001;concat.py:389(__init__)
12;0.000;0.000;0.002;0.000;concat.py:444(get_reindexed_values)
6;0.000;0.000;0.002;0.000;concat.py:542(<listcomp>)
11;0.000;0.000;0.002;0.000;frame.py:8267(groupby)
5;0.000;0.000;0.002;0.000;generic.py:1516(__invert__)
21;0.000;0.000;0.002;0.000;groupby.py:922(__init__)
1;0.000;0.000;0.002;0.002;rolling.py:639(homogeneous_func)
1;0.000;0.000;0.002;0.002;rolling.py:645(calc)
2589;0.001;0.000;0.001;0.000;base.py:6582(_validate_indexer)
875;0.001;0.000;0.001;0.000;blocks.py:836(_slice)
878;0.001;0.000;0.001;0.000;common.py:537(is_string_or_object_np_dtype)
860;0.001;0.000;0.001;0.000;nanops.py:1453(_maybe_null_out)
869;0.001;0.000;0.001;0.000;nanops.py:350(_na_ok_dtype)
10;0.001;0.000;0.001;0.000;ops.py:537(_call_cython_op)
31;0.001;0.000;0.001;0.000;{built-in method _codecs.utf_8_decode}
9;0.001;0.000;0.001;0.000;{built-in method _operator.invert}
1;0.001;0.001;0.001;0.001;{built-in method io.open}
38;0.001;0.000;0.001;0.000;{built-in method numpy.arange}
11;0.001;0.000;0.001;0.000;{method 'factorize' of 'pandas._libs.hashtable.Float64HashTable' objects}
40;0.000;0.000;0.001;0.000;<__array_function__ internals>:177(append)
94;0.000;0.000;0.001;0.000;<__array_function__ internals>:177(copyto)
20;0.000;0.000;0.001;0.000;<__array_function__ internals>:177(insert)
1;0.000;0.000;0.001;0.001;<__array_function__ internals>:177(select)
31;0.000;0.000;0.001;0.000;<frozen codecs>:319(decode)
93;0.000;0.000;0.001;0.000;_dtype.py:344(_name_get)
2;0.000;0.000;0.001;0.001;_mixins.py:214(_concat_same_type)
878;0.000;0.000;0.001;0.000;_validators.py:226(validate_bool_kwarg)
5;0.000;0.000;0.001;0.000;accessor.py:255(_wrap_result)
3;0.000;0.000;0.001;0.000;accessor.py:93(f)
3;0.000;0.000;0.001;0.000;accessors.py:120(_delegate_method)
11;0.000;0.000;0.001;0.000;algorithms.py:1795(safe_sort)
12;0.000;0.000;0.001;0.000;algorithms.py:269(_get_hashtable_algo)
12;0.000;0.000;0.001;0.000;algorithms.py:287(_check_object_for_strings)
16;0.000;0.000;0.001;0.000;array_ops.py:136(_na_arithmetic_op)
13;0.000;0.000;0.001;0.000;array_ops.py:336(logical_op)
25;0.000;0.000;0.001;0.000;array_ops.py:354(fill_bool)
3;0.000;0.000;0.001;0.000;arraylike.py:108(__sub__)
3;0.000;0.000;0.001;0.000;arraylike.py:52(__le__)
3;0.000;0.000;0.001;0.000;arraylike.py:60(__ge__)
10;0.000;0.000;0.001;0.000;base.py:231(__getitem__)
14;0.000;0.000;0.001;0.000;base.py:2421(is_boolean)
10;0.000;0.000;0.001;0.000;base.py:2745(inferred_type)
3;0.000;0.000;0.001;0.000;base.py:6032(get_indexer_for)
2;0.000;0.000;0.001;0.001;base.py:6056(_get_indexer_strict)
7;0.000;0.000;0.001;0.000;base.py:6285(_should_compare)
34;0.000;0.000;0.001;0.000;base.py:7396(_maybe_cast_data_without_dtype)
47;0.000;0.000;0.001;0.000;blocks.py:2161(new_block_2d)
46;0.000;0.000;0.001;0.000;common.py:235(asarray_tuplesafe)
2;0.000;0.000;0.001;0.001;concat.py:338(_concat_datetime)
3;0.000;0.000;0.001;0.000;concat.py:631(_get_new_axes)
3;0.000;0.000;0.001;0.000;concat.py:633(<listcomp>)
3;0.000;0.000;0.001;0.000;construction.py:881(create_series_with_explicit_dtype)
2;0.000;0.000;0.001;0.001;datetimelike.py:533(_concat_same_type)
16;0.000;0.000;0.001;0.000;expressions.py:225(evaluate)
16;0.000;0.000;0.001;0.000;expressions.py:64(_evaluate_standard)
16;0.000;0.000;0.001;0.000;expressions.py:93(_evaluate_numexpr)
3;0.000;0.000;0.001;0.000;extension.py:95(method)
1;0.000;0.000;0.001;0.001;frame.py:10917(_reduce_axis1)
31;0.000;0.000;0.001;0.000;frame.py:12012(_reindex_for_setitem)
1;0.000;0.000;0.001;0.001;frame.py:6586(drop_duplicates)
20;0.000;0.000;0.001;0.000;function_base.py:5250(insert)
1;0.000;0.000;0.001;0.001;function_base.py:766(select)
1;0.000;0.000;0.001;0.001;generic.py:10012(mask)
3;0.000;0.000;0.001;0.000;generic.py:11108(_logical_func)
2;0.000;0.000;0.001;0.000;generic.py:11178(all)
2;0.000;0.000;0.001;0.000;generic.py:11618(all)
10;0.000;0.000;0.001;0.000;generic.py:1402(__getitem__)
34;0.000;0.000;0.001;0.000;generic.py:4137(_check_setitem_copy)
11;0.000;0.000;0.001;0.000;generic.py:5044(reindex)
2;0.000;0.000;0.001;0.000;generic.py:7895(notnull)
1;0.000;0.000;0.001;0.001;generic.py:9614(_where)
1;0.000;0.000;0.001;0.001;generic.py:9788(where)
1;0.000;0.000;0.001;0.001;groupby.py:1699(_agg_general)
1;0.000;0.000;0.001;0.001;groupby.py:2435(sum)
11;0.000;0.000;0.001;0.000;grouper.py:649(group_index)
11;0.000;0.000;0.001;0.000;grouper.py:702(get_grouper)
1;0.000;0.000;0.001;0.001;indexing.py:1213(_getitem_iterable)
18;0.000;0.000;0.001;0.000;iostream.py:456(_schedule_flush)
18;0.000;0.000;0.001;0.000;iostream.py:526(write)
20;0.000;0.000;0.001;0.000;managers.py:1455(_insert_update_blklocs_and_blknos)
85;0.000;0.000;0.001;0.000;missing.py:645(na_value_for_dtype)
6;0.000;0.000;0.001;0.000;nanops.py:542(nanall)
89;0.000;0.000;0.001;0.000;numeric.py:290(full)
1;0.000;0.000;0.001;0.001;objects.py:77(get_window_bounds)
10;0.000;0.000;0.001;0.000;ops.py:493(_cython_op_ndim_compat)
10;0.000;0.000;0.001;0.000;ops.py:668(cython_operation)
1;0.000;0.000;0.001;0.001;ops.py:792(_get_splitter)
2;0.000;0.000;0.001;0.000;series.py:1009(_get_with)
2;0.000;0.000;0.001;0.000;series.py:2818(diff)
2;0.000;0.000;0.001;0.001;series.py:486(_init_dict)
11;0.000;0.000;0.001;0.000;series.py:5077(reindex)
2;0.000;0.000;0.001;0.000;series.py:5725(notnull)
1;0.000;0.000;0.001;0.001;series.py:6117(where)
1;0.000;0.000;0.001;0.001;series.py:6183(mask)
10;0.000;0.000;0.001;0.000;utils.py:243(maybe_convert_indices)
46;0.000;0.000;0.001;0.000;warnings.py:130(filterwarnings)
3;0.000;0.000;0.001;0.000;{built-in method _operator.sub}
5;0.000;0.000;0.001;0.000;{built-in method builtins.print}
27;0.000;0.000;0.001;0.000;{built-in method builtins.sorted}
6;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(all)
8;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(argsort)
3;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(atleast_1d)
8;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(atleast_2d)
20;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(bincount)
2;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(broadcast_arrays)
2;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(clip)
1;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(mean)
20;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(moveaxis)
1;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(nonzero)
1;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(prod)
40;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(ravel)
4;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(result_type)
1;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(sum)
1;0.000;0.000;0.000;0.000;<__array_function__ internals>:177(where)
69;0.000;0.000;0.000;0.000;<frozen abc>:117(__instancecheck__)
2;0.000;0.000;0.000;0.000;<frozen abc>:121(__subclasscheck__)
1;0.000;0.000;0.000;0.000;<frozen codecs>:260(__init__)
1;0.000;0.000;0.000;0.000;<frozen codecs>:309(__init__)
31;0.000;0.000;0.000;0.000;<frozen codecs>:331(getstate)
3;0.000;0.000;0.000;0.000;<frozen posixpath>:229(expanduser)
1;0.000;0.000;0.000;0.000;<ipython-input-134-80e15ba39301>:172(<listcomp>)
1;0.000;0.000;0.000;0.000;<string>:1(<lambda>)
1;0.000;0.000;0.000;0.000;<string>:2(__init__)
52;0.000;0.000;0.000;0.000;__init__.py:225(compile)
52;0.000;0.000;0.000;0.000;__init__.py:272(_compile)
6;0.000;0.000;0.000;0.000;_asarray.py:112(<setcomp>)
6;0.000;0.000;0.000;0.000;_asarray.py:31(require)
10;0.000;0.000;0.000;0.000;_dtype.py:178(_datetime_metadata_str)
93;0.000;0.000;0.000;0.000;_dtype.py:24(_kind_name)
93;0.000;0.000;0.000;0.000;_dtype.py:330(_name_includes_bit_suffix)
4;0.000;0.000;0.000;0.000;_dtype.py:34(__str__)
4;0.000;0.000;0.000;0.000;_methods.py:103(_clip_dep_is_byte_swapped)
2;0.000;0.000;0.000;0.000;_methods.py:108(_clip_dep_invoke_with_casting)
2;0.000;0.000;0.000;0.000;_methods.py:127(_clip)
1;0.000;0.000;0.000;0.000;_methods.py:164(_mean)
23;0.000;0.000;0.000;0.000;_methods.py:39(_amax)
14;0.000;0.000;0.000;0.000;_methods.py:43(_amin)
1;0.000;0.000;0.000;0.000;_methods.py:67(_count_reduce_items)
4;0.000;0.000;0.000;0.000;_methods.py:93(_clip_dep_is_scalar_nan)
4;0.000;0.000;0.000;0.000;_mixins.py:121(view)
2;0.000;0.000;0.000;0.000;_mixins.py:221(<setcomp>)
2;0.000;0.000;0.000;0.000;_mixins.py:225(<listcomp>)
1;0.000;0.000;0.000;0.000;_mixins.py:380(_where)
2;0.000;0.000;0.000;0.000;_strptime.py:26(_getlang)
1;0.000;0.000;0.000;0.000;_strptime.py:309(_strptime)
1;0.000;0.000;0.000;0.000;_strptime.py:565(_strptime_datetime)
1;0.000;0.000;0.000;0.000;_validators.py:128(_check_for_invalid_keys)
1;0.000;0.000;0.000;0.000;_validators.py:141(validate_kwargs)
1;0.000;0.000;0.000;0.000;_validators.py:366(validate_fillna_kwargs)
1;0.000;0.000;0.000;0.000;_validators.py:449(validate_ascending)
1;0.000;0.000;0.000;0.000;_validators.py:49(_check_for_default_values)
3;0.000;0.000;0.000;0.000;accessors.py:482(__new__)
3;0.000;0.000;0.000;0.000;accessors.py:53(__init__)
3;0.000;0.000;0.000;0.000;accessors.py:64(_get_values)
1;0.000;0.000;0.000;0.000;algorithms.py:1041(duplicated)
13;0.000;0.000;0.000;0.000;algorithms.py:117(_ensure_data)
2;0.000;0.000;0.000;0.000;algorithms.py:1679(diff)
23;0.000;0.000;0.000;0.000;algorithms.py:197(_reconstruct_data)
12;0.000;0.000;0.000;0.000;algorithms.py:235(_ensure_arraylike)
11;0.000;0.000;0.000;0.000;algorithms.py:855(resolve_na_sentinel)
11;0.000;0.000;0.000;0.000;algorithms.py:905(_re_wrap_factorize)
3;0.000;0.000;0.000;0.000;api.py:104(<listcomp>)
3;0.000;0.000;0.000;0.000;api.py:108(_get_distinct_objs)
3;0.000;0.000;0.000;0.000;api.py:122(_get_combined_index)
4;0.000;0.000;0.000;0.000;api.py:204(union_indexes)
1;0.000;0.000;0.000;0.000;api.py:230(_unique_indices)
2;0.000;0.000;0.000;0.000;api.py:246(conv)
1;0.000;0.000;0.000;0.000;api.py:252(<listcomp>)
1;0.000;0.000;0.000;0.000;api.py:256(_find_common_index_dtype)
1;0.000;0.000;0.000;0.000;api.py:268(<listcomp>)
2;0.000;0.000;0.000;0.000;api.py:280(<listcomp>)
2;0.000;0.000;0.000;0.000;api.py:281(<listcomp>)
2;0.000;0.000;0.000;0.000;api.py:316(<genexpr>)
3;0.000;0.000;0.000;0.000;api.py:328(_sanitize_and_check)
3;0.000;0.000;0.000;0.000;api.py:349(<setcomp>)
17;0.000;0.000;0.000;0.000;api.py:384(default_index)
3;0.000;0.000;0.000;0.000;api.py:78(get_objs_combined_axis)
1;0.000;0.000;0.000;0.000;apply.py:1089(__init__)
1;0.000;0.000;0.000;0.000;apply.py:112(__init__)
13;0.000;0.000;0.000;0.000;array_ops.py:295(na_logical_op)
3;0.000;0.000;0.000;0.000;array_ops.py:514(_bool_arith_check)
1;0.000;0.000;0.000;0.000;arraylike.py:116(__mul__)
1;0.000;0.000;0.000;0.000;arraylike.py:124(__truediv__)
1;0.000;0.000;0.000;0.000;arraylike.py:74(__rand__)
2;0.000;0.000;0.000;0.000;arraylike.py:78(__or__)
8;0.000;0.000;0.000;0.000;base.py:1023(view)
1;0.000;0.000;0.000;0.000;base.py:124(_reset_cache)
2;0.000;0.000;0.000;0.000;base.py:1268(copy)
1;0.000;0.000;0.000;0.000;base.py:1310(_duplicated)
12;0.000;0.000;0.000;0.000;base.py:148(is_consolidated)
7;0.000;0.000;0.000;0.000;base.py:161(_freeze)
10;0.000;0.000;0.000;0.000;base.py:163(array)
49;0.000;0.000;0.000;0.000;base.py:168(__setattr__)
1;0.000;0.000;0.000;0.000;base.py:1741(name)
4;0.000;0.000;0.000;0.000;base.py:1752(_validate_names)
22;0.000;0.000;0.000;0.000;base.py:1820(_get_names)
11;0.000;0.000;0.000;0.000;base.py:1823(_set_names)
11;0.000;0.000;0.000;0.000;base.py:1852(set_names)
11;0.000;0.000;0.000;0.000;base.py:1963(rename)
2;0.000;0.000;0.000;0.000;base.py:2017(nlevels)
1;0.000;0.000;0.000;0.000;base.py:204(_selected_obj)
10;0.000;0.000;0.000;0.000;base.py:216(_obj_with_exclusions)
22;0.000;0.000;0.000;0.000;base.py:229(construct_from_string)
1;0.000;0.000;0.000;0.000;base.py:2457(is_integer)
5;0.000;0.000;0.000;0.000;base.py:2581(is_object)
36;0.000;0.000;0.000;0.000;base.py:2783(_is_multi)
9;0.000;0.000;0.000;0.000;base.py:2801(_na_value)
2;0.000;0.000;0.000;0.000;base.py:3198(_get_reconciled_name_object)
2;0.000;0.000;0.000;0.000;base.py:3209(_validate_sort_keyword)
2;0.000;0.000;0.000;0.000;base.py:3241(union)
8;0.000;0.000;0.000;0.000;base.py:356(size)
2;0.000;0.000;0.000;0.000;base.py:3731(_assert_can_do_setop)
2;0.000;0.000;0.000;0.000;base.py:3737(_convert_can_do_setop)
7;0.000;0.000;0.000;0.000;base.py:4020(_check_indexing_method)
28;0.000;0.000;0.000;0.000;base.py:413(_engine_type)
1;0.000;0.000;0.000;0.000;base.py:4215(_convert_slice_indexer)
3;0.000;0.000;0.000;0.000;base.py:4233(is_int)
2;0.000;0.000;0.000;0.000;base.py:4318(reindex)
2;0.000;0.000;0.000;0.000;base.py:4437(_wrap_reindex_result)
2;0.000;0.000;0.000;0.000;base.py:4441(_maybe_preserve_names)
9;0.000;0.000;0.000;0.000;base.py:494(find)
35;0.000;0.000;0.000;0.000;base.py:5116(_get_engine_target)
20;0.000;0.000;0.000;0.000;base.py:5204(_validate_fill_value)
5;0.000;0.000;0.000;0.000;base.py:5363(_can_hold_identifiers_and_holds_name)
2;0.000;0.000;0.000;0.000;base.py:5377(append)
2;0.000;0.000;0.000;0.000;base.py:5402(<setcomp>)
2;0.000;0.000;0.000;0.000;base.py:5407(_concat)
2;0.000;0.000;0.000;0.000;base.py:5411(<listcomp>)
4;0.000;0.000;0.000;0.000;base.py:543(empty)
6;0.000;0.000;0.000;0.000;base.py:555(<genexpr>)
11;0.000;0.000;0.000;0.000;base.py:5551(identical)
22;0.000;0.000;0.000;0.000;base.py:5564(<genexpr>)
35;0.000;0.000;0.000;0.000;base.py:574(_ensure_array)
2;0.000;0.000;0.000;0.000;base.py:6087(_raise_if_missing)
13;0.000;0.000;0.000;0.000;base.py:6193(_index_as_unique)
7;0.000;0.000;0.000;0.000;base.py:6205(_maybe_promote)
7;0.000;0.000;0.000;0.000;base.py:6303(_is_comparable_dtype)
7;0.000;0.000;0.000;0.000;base.py:6576(_maybe_cast_listlike_indexer)
1;0.000;0.000;0.000;0.000;base.py:6804(delete)
1;0.000;0.000;0.000;0.000;base.py:6901(drop)
6;0.000;0.000;0.000;0.000;base.py:728(_constructor)
2;0.000;0.000;0.000;0.000;base.py:7336(ensure_has_len)
1;0.000;0.000;0.000;0.000;base.py:7437(get_unanimous_names)
1;0.000;0.000;0.000;0.000;base.py:7450(<listcomp>)
1;0.000;0.000;0.000;0.000;base.py:7451(<listcomp>)
2;0.000;0.000;0.000;0.000;base.py:7452(<genexpr>)
7;0.000;0.000;0.000;0.000;base.py:7456(unpack_nested_dtype)
20;0.000;0.000;0.000;0.000;base.py:821(_view)
4;0.000;0.000;0.000;0.000;base.py:830(_rename)
29;0.000;0.000;0.000;0.000;base.py:881(_engine)
1;0.000;0.000;0.000;0.000;base_parser.py:1056(_make_date_converter)
1;0.000;0.000;0.000;0.000;base_parser.py:1148(_process_date_conversion)
2;0.000;0.000;0.000;0.000;base_parser.py:1283(_is_potential_multi_index)
4;0.000;0.000;0.000;0.000;base_parser.py:1308(<genexpr>)
1;0.000;0.000;0.000;0.000;base_parser.py:1312(_validate_parse_dates_arg)
3;0.000;0.000;0.000;0.000;base_parser.py:1334(is_index_col)
1;0.000;0.000;0.000;0.000;base_parser.py:165(_validate_parse_dates_presence)
1;0.000;0.000;0.000;0.000;base_parser.py:209(<setcomp>)
1;0.000;0.000;0.000;0.000;base_parser.py:221(<listcomp>)
1;0.000;0.000;0.000;0.000;base_parser.py:229(_has_complex_date_col)
1;0.000;0.000;0.000;0.000;base_parser.py:258(_extract_multi_indexer_columns)
1;0.000;0.000;0.000;0.000;base_parser.py:327(_maybe_dedup_names)
1;0.000;0.000;0.000;0.000;base_parser.py:358(_maybe_make_multi_index_columns)
1;0.000;0.000;0.000;0.000;base_parser.py:370(_make_index)
1;0.000;0.000;0.000;0.000;base_parser.py:612(_set_noconvert_dtype_columns)
1;0.000;0.000;0.000;0.000;base_parser.py:814(_do_date_conversions)
1;0.000;0.000;0.000;0.000;base_parser.py:834(_check_data_length)
1;0.000;0.000;0.000;0.000;base_parser.py:88(__init__)
1;0.000;0.000;0.000;0.000;base_parser.py:924(_validate_usecols_arg)
1;0.000;0.000;0.000;0.000;blocks.py:1163(fillna)
1;0.000;0.000;0.000;0.000;blocks.py:1436(where)
44;0.000;0.000;0.000;0.000;blocks.py:160(_consolidate_key)
11;0.000;0.000;0.000;0.000;blocks.py:165(_can_hold_na)
6;0.000;0.000;0.000;0.000;blocks.py:188(is_bool)
5;0.000;0.000;0.000;0.000;blocks.py:1908(array_values)
13;0.000;0.000;0.000;0.000;blocks.py:1939(is_extension)
36;0.000;0.000;0.000;0.000;blocks.py:200(fill_value)
9;0.000;0.000;0.000;0.000;blocks.py:206(_standardize_fill_value)
146;0.000;0.000;0.000;0.000;blocks.py:213(mgr_locs)
26;0.000;0.000;0.000;0.000;blocks.py:221(make_block)
10;0.000;0.000;0.000;0.000;blocks.py:275(__len__)
8;0.000;0.000;0.000;0.000;blocks.py:279(getitem_block)
2;0.000;0.000;0.000;0.000;blocks.py:301(getitem_block_columns)
15;0.000;0.000;0.000;0.000;blocks.py:376(_split_op_result)
2;0.000;0.000;0.000;0.000;blocks.py:439(coerce_to_target_dtype)
1;0.000;0.000;0.000;0.000;blocks.py:452(_maybe_downcast)
25;0.000;0.000;0.000;0.000;blocks.py:823(shape)
1;0.000;0.000;0.000;0.000;c_parser_wrapper.py:190(close)
1;0.000;0.000;0.000;0.000;c_parser_wrapper.py:197(_set_noconvert_columns)
1;0.000;0.000;0.000;0.000;c_parser_wrapper.py:208(<dictcomp>)
1;0.000;0.000;0.000;0.000;c_parser_wrapper.py:209(<listcomp>)
1;0.000;0.000;0.000;0.000;c_parser_wrapper.py:314(<listcomp>)
1;0.000;0.000;0.000;0.000;c_parser_wrapper.py:318(<dictcomp>)
5;0.000;0.000;0.000;0.000;c_parser_wrapper.py:363(<listcomp>)
5;0.000;0.000;0.000;0.000;c_parser_wrapper.py:365(<setcomp>)
5;0.000;0.000;0.000;0.000;c_parser_wrapper.py:367(<setcomp>)
1;0.000;0.000;0.000;0.000;c_parser_wrapper.py:416(ensure_dtype_objs)
12;0.000;0.000;0.000;0.000;cast.py:1291(maybe_cast_to_datetime)
2;0.000;0.000;0.000;0.000;cast.py:1487(find_result_type)
7;0.000;0.000;0.000;0.000;cast.py:1589(find_common_type)
29;0.000;0.000;0.000;0.000;cast.py:1931(np_can_hold_element)
10;0.000;0.000;0.000;0.000;cast.py:259(maybe_downcast_to_dtype)
10;0.000;0.000;0.000;0.000;cast.py:328(maybe_downcast_numeric)
45;0.000;0.000;0.000;0.000;cast.py:508(ensure_dtype_can_hold_na)
18;0.000;0.000;0.000;0.000;cast.py:566(_maybe_promote_cached)
39;0.000;0.000;0.000;0.000;cast.py:574(_maybe_promote)
8;0.000;0.000;0.000;0.000;cast.py:919(_maybe_infer_dtype_type)
18;0.000;0.000;0.000;0.000;common.py:1048(is_numeric_v_string_like)
1;0.000;0.000;0.000;0.000;common.py:1102(_maybe_memory_map)
1;0.000;0.000;0.000;0.000;common.py:112(close)
2;0.000;0.000;0.000;0.000;common.py:1147(_is_binary_mode)
2;0.000;0.000;0.000;0.000;common.py:116(ensure_python_int)
39;0.000;0.000;0.000;0.000;common.py:1204(is_numeric_dtype)
1;0.000;0.000;0.000;0.000;common.py:136(is_url)
16;0.000;0.000;0.000;0.000;common.py:1403(is_1d_only_ea_obj)
9;0.000;0.000;0.000;0.000;common.py:1532(_is_dtype)
3;0.000;0.000;0.000;0.000;common.py:164(_expand_user)
1;0.000;0.000;0.000;0.000;common.py:175(maybe_warn_args_and_kwargs)
4;0.000;0.000;0.000;0.000;common.py:178(not_none)
11;0.000;0.000;0.000;0.000;common.py:182(<genexpr>)
1;0.000;0.000;0.000;0.000;common.py:183(validate_header_arg)
5;0.000;0.000;0.000;0.000;common.py:192(all_none)
3;0.000;0.000;0.000;0.000;common.py:192(is_sparse)
16;0.000;0.000;0.000;0.000;common.py:196(<genexpr>)
2;0.000;0.000;0.000;0.000;common.py:224(stringify_path)
1;0.000;0.000;0.000;0.000;common.py:268(index_labels_to_array)
1;0.000;0.000;0.000;0.000;common.py:268(is_fsspec_url)
1;0.000;0.000;0.000;0.000;common.py:280(_get_filepath_or_buffer)
5;0.000;0.000;0.000;0.000;common.py:303(maybe_iterable_to_list)
44;0.000;0.000;0.000;0.000;common.py:319(is_datetime64_dtype)
58;0.000;0.000;0.000;0.000;common.py:393(is_timedelta64_dtype)
8;0.000;0.000;0.000;0.000;common.py:463(is_interval_dtype)
1;0.000;0.000;0.000;0.000;common.py:494(get_compression_method)
69;0.000;0.000;0.000;0.000;common.py:501(is_categorical_dtype)
1;0.000;0.000;0.000;0.000;common.py:529(infer_compression)
9;0.000;0.000;0.000;0.000;common.py:544(is_string_dtype)
38;0.000;0.000;0.000;0.000;common.py:546(temp_setattr)
9;0.000;0.000;0.000;0.000;common.py:573(condition)
9;0.000;0.000;0.000;0.000;common.py:617(get_cython_func)
1;0.000;0.000;0.000;0.000;common.py:624(is_builtin_func)
1;0.000;0.000;0.000;0.000;common.py:887(is_datetime64_any_dtype)
2;0.000;0.000;0.000;0.000;common.py:929(is_datetime64_ns_dtype)
8;0.000;0.000;0.000;0.000;concat.py:103(<listcomp>)
8;0.000;0.000;0.000;0.000;concat.py:108(<setcomp>)
8;0.000;0.000;0.000;0.000;concat.py:109(<setcomp>)
17;0.000;0.000;0.000;0.000;concat.py:110(<genexpr>)
18;0.000;0.000;0.000;0.000;concat.py:113(<genexpr>)
8;0.000;0.000;0.000;0.000;concat.py:116(<setcomp>)
24;0.000;0.000;0.000;0.000;concat.py:117(<genexpr>)
3;0.000;0.000;0.000;0.000;concat.py:199(<listcomp>)
2;0.000;0.000;0.000;0.000;concat.py:217(<listcomp>)
3;0.000;0.000;0.000;0.000;concat.py:246(_maybe_reindex_columns_na_proxy)
6;0.000;0.000;0.000;0.000;concat.py:278(_get_mgr_concatenation_plan)
2;0.000;0.000;0.000;0.000;concat.py:354(<listcomp>)
25;0.000;0.000;0.000;0.000;concat.py:354(__init__)
2;0.000;0.000;0.000;0.000;concat.py:356(<setcomp>)
6;0.000;0.000;0.000;0.000;concat.py:366(needs_filling)
6;0.000;0.000;0.000;0.000;concat.py:375(dtype)
12;0.000;0.000;0.000;0.000;concat.py:385(_is_valid_na_for)
16;0.000;0.000;0.000;0.000;concat.py:415(is_na)
2;0.000;0.000;0.000;0.000;concat.py:442(<genexpr>)
2;0.000;0.000;0.000;0.000;concat.py:476(<listcomp>)
